Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
hmac_drbg.c.obj,0,0,0,0,0,754,0,0,0
crypto_mbedtls-bignum.c.,0,0,0,0,0,751,0,0,0
ble_l2cap.c.obj,0,280,0,0,280,727,20,0,0
vfs_console.c.obj,0,12,0,0,12,583,164,0,0
clk_tree_hal.c.obj,0,0,0,0,0,685,58,0,0
uart_hal_iram.c.obj,60,0,682,0,742,0,0,0,0
ble_sm_lgcy.c.obj,0,0,0,0,0,690,50,0,0
i2s_platform.c.obj,24,0,0,0,24,650,64,0,0
ieee80211_action.o,192,0,0,0,192,537,7,0,0
wifi_init.c.obj,0,5,0,0,5,727,8,0,0
transport.c.obj,0,152,0,0,152,696,38,0,0
clk.c.obj,0,0,0,0,0,715,17,0,0
pvmp3_get_scale_factors.,0,0,0,0,0,586,144,0,0
nvs_handle_simple.cpp.ob,0,0,0,0,0,602,128,0,0
debug_helpers.c.obj,0,0,722,0,722,0,0,0,0
ieee80211_regdomain.o,0,0,0,0,0,719,0,0,0
llc_util.o,0,0,0,0,0,715,0,0,0
ble_hs_id.c.obj,0,12,0,0,12,713,0,0,0
netdb.c.obj,0,0,0,0,0,690,17,0,0
dct_16.S.obj,0,0,699,0,699,0,0,0,0
aes-siv.c.obj,0,0,0,0,0,683,16,0,0
libc_a-fvwrite.o,0,0,0,0,0,695,0,0,0
functexcept.o,0,0,0,0,0,268,423,0,0
ble_svc_gap.c.obj,128,2,0,0,130,421,141,0,0
ccmp.c.obj,0,0,0,0,0,688,0,0,0
panic_handler.c.obj,8,8,66,0,82,613,0,0,0
NimBLERemoteService.cpp.,0,0,0,0,0,666,16,0,0
icmp6.c.obj,0,0,0,0,0,610,61,0,0
ble_att.c.obj,0,2,0,0,2,409,240,0,0
sha.c.obj,16,13,0,0,29,539,88,0,0
portasm.S.obj,0,0,642,0,642,0,0,0,0
ble_uuid.c.obj,16,0,0,0,16,624,0,0,0
entropy.c.obj,0,0,0,0,0,638,0,0,0
pvmp3_get_side_info.cpp.,0,0,0,0,0,636,0,0,0
